conv1   [32, 56, 56, 64]
pool1   [32, 27, 27, 64]
conv2   [32, 27, 27, 192]
pool2   [32, 13, 13, 192]
conv3   [32, 13, 13, 384]
conv4   [32, 13, 13, 256]
conv5   [32, 13, 13, 256]
pool5   [32, 6, 6, 256]
2017-03-23 20:03:29.645837: step 0, duration = 0.023
2017-03-23 20:03:29.875956: step 10, duration = 0.023
2017-03-23 20:03:30.108836: step 20, duration = 0.023
2017-03-23 20:03:30.338407: step 30, duration = 0.023
2017-03-23 20:03:30.566955: step 40, duration = 0.023
2017-03-23 20:03:30.795128: step 50, duration = 0.023
2017-03-23 20:03:31.032900: step 60, duration = 0.027
2017-03-23 20:03:31.265708: step 70, duration = 0.023
2017-03-23 20:03:31.494827: step 80, duration = 0.023
2017-03-23 20:03:31.723554: step 90, duration = 0.023
2017-03-23 20:03:31.948957: Forward across 100 steps,0.023 +/- 0.002 sec / batch
2017-03-23 20:03:32.795804: step 0, duration = 0.073
2017-03-23 20:03:33.526629: step 10, duration = 0.072
2017-03-23 20:03:34.259618: step 20, duration = 0.073
2017-03-23 20:03:34.987105: step 30, duration = 0.074
2017-03-23 20:03:35.713527: step 40, duration = 0.072
2017-03-23 20:03:36.439813: step 50, duration = 0.073
2017-03-23 20:03:37.174762: step 60, duration = 0.073
2017-03-23 20:03:37.901431: step 70, duration = 0.075
2017-03-23 20:03:38.646302: step 80, duration = 0.073
2017-03-23 20:03:39.374230: step 90, duration = 0.072
2017-03-23 20:03:40.036845: Forward-backward across 100 steps,0.073 +/- 0.002 sec / batch
