2017-03-27 15:47:44.355856: step 0, duration = 0.150
2017-03-27 15:47:45.864395: step 10, duration = 0.152
2017-03-27 15:47:47.378205: step 20, duration = 0.151
2017-03-27 15:47:48.895978: step 30, duration = 0.154
2017-03-27 15:47:50.405570: step 40, duration = 0.150
2017-03-27 15:47:51.919466: step 50, duration = 0.152
2017-03-27 15:47:53.432279: step 60, duration = 0.150
2017-03-27 15:47:54.959798: step 70, duration = 0.151
2017-03-27 15:47:56.496187: step 80, duration = 0.155
2017-03-27 15:47:58.008354: step 90, duration = 0.150
2017-03-27 15:47:59.373998: Forward across 100 step, 0.152 +/- 0.002 sec/batch
2017-03-27 15:48:12.263038: step 0, duration = 0.932
2017-03-27 15:48:22.221938: step 10, duration = 0.925
2017-03-27 15:48:31.897999: step 20, duration = 1.141
2017-03-27 15:48:40.917976: step 30, duration = 0.900
2017-03-27 15:48:50.599861: step 40, duration = 0.886
2017-03-27 15:49:00.275470: step 50, duration = 1.057
2017-03-27 15:49:10.250517: step 60, duration = 0.937
2017-03-27 15:49:20.076920: step 70, duration = 1.058
2017-03-27 15:49:29.423820: step 80, duration = 0.887
2017-03-27 15:49:39.259277: step 90, duration = 0.898
2017-03-27 15:49:47.708109: Forward-backward across 100 step, 0.964 +/- 0.124 sec/batch
